iter	Passed	Remaining
907	3383	342
908	3387	339
909	3391	335
910	3395	331
911	3398	327
912	3402	324
913	3406	320
914	3410	316
915	3414	313
916	3417	309
917	3421	305
918	3425	301
919	3429	298
920	3433	294
921	3436	290
922	3440	287
923	3444	283
924	3447	279
925	3451	275
926	3455	272
927	3459	268
928	3462	264
929	3466	260
930	3470	257
931	3473	253
932	3477	249
933	3481	246
934	3485	242
935	3488	238
936	3492	234
937	3496	231
938	3500	227
939	3503	223
940	3507	219
941	3511	216
942	3515	212
943	3518	208
944	3522	205
945	3526	201
946	3530	197
947	3538	194
948	3541	190
949	3545	186
950	3549	182
951	3553	179
952	3557	175
953	3560	171
954	3564	167
955	3568	164
956	3572	160
957	3575	156
958	3579	153
959	3583	149
960	3587	145
961	3590	141
962	3594	138
963	3598	134
964	3602	130
965	3605	126
966	3609	123
967	3613	119
968	3617	115
969	3621	111
970	3624	108
971	3628	104
972	3632	100
973	3636	97
974	3639	93
975	3643	89
976	3647	85
977	3651	82
978	3654	78
979	3658	74
980	3662	70
981	3665	67
982	3669	63
983	3673	59
984	3677	56
985	3681	52
986	3685	48
987	3690	44
988	3693	41
989	3697	37
990	3701	33
991	3705	29
992	3709	26
993	3713	22
994	3716	18
995	3720	14
996	3724	11
997	3727	7
998	3731	3
999	3735	0
